-0.01 -0.01 0 
-0.01 0.01 0 
-0.01 0.03 0 
-0.01 0.05 0 
-0.01 0.07 0 
-0.01 0.09 0 
-0.01 0.11 0 
-0.01 0.13 0 
-0.01 0.15 0 
-0.01 0.17 0 
-0.01 0.19 0 
-0.01 0.21 0 
-0.01 0.23 0 
-0.01 0.25 0 
-0.01 0.27 0 
-0.01 0.29 0 
-0.01 0.31 0 
-0.01 0.33 0 
-0.01 0.35 0 
-0.01 0.37 0 
-0.01 0.39 0 
-0.01 0.41 0 
-0.01 0.43 0 
-0.01 0.45 0 
-0.01 0.47 0 
-0.01 0.49 0 
-0.01 0.51 0 
-0.01 0.53 0 
-0.01 0.55 0 
-0.01 0.57 0 
-0.01 0.59 0 
-0.01 0.61 0 
-0.01 0.63 0 
-0.01 0.65 0 
-0.01 0.67 0 
-0.01 0.69 0 
-0.01 0.71 0 
-0.01 0.73 0 
-0.01 0.75 0 
-0.01 0.77 0 
-0.01 0.79 0 
-0.01 0.81 0 
-0.01 0.83 0 
-0.01 0.85 0 
-0.01 0.87 0 
-0.01 0.89 0 
-0.01 0.91 0 
-0.01 0.93 0 
-0.01 0.95 0 
-0.01 0.97 0 
-0.01 0.99 0 
-0.01 1.01 0 
-0.01 1.03 0 
-0.01 1.05 0 
-0.01 1.07 0 
-0.01 1.09 0 
-0.01 1.11 0 
-0.01 1.13 0 
-0.01 1.15 0 
-0.01 1.17 0 
-0.01 1.19 0 
-0.01 1.21 0 
-0.01 1.23 0 
-0.01 1.25 0 
-0.01 1.27 0 
-0.01 1.29 0 
-0.01 1.31 0 
-0.01 1.33 0 
-0.01 1.35 0 
-0.01 1.37 0 
-0.01 1.39 0 
-0.01 1.41 0 
-0.01 1.43 0 
-0.01 1.45 0 
-0.01 1.47 0 
-0.01 1.49 0 
-0.01 1.51 0 
-0.01 1.53 0 
-0.01 1.55 0 
-0.01 1.57 0 
-0.01 1.59 0 
-0.01 1.61 0 
-0.01 1.63 0 
-0.01 1.65 0 
-0.01 1.67 0 
-0.01 1.69 0 
-0.01 1.71 0 
-0.01 1.73 0 
-0.01 1.75 0 
-0.01 1.77 0 
-0.01 1.79 0 
-0.01 1.81 0 
-0.01 1.83 0 
-0.01 1.85 0 
